Node,Number of Visits,Relative Importance Score,%
367,24236,0.0024236,0.24236000000000002
249,21957,0.0021957,0.21957000000000002
145,20497,0.0020497,0.20496999999999999
264,20357,0.0020357,0.20357
266,19991,0.0019991,0.19991000000000003
123,18913,0.0018913,0.18913
127,18646,0.0018646,0.18646
5,18495,0.0018495,0.18495
1317,18478,0.0018478,0.18478
122,18349,0.0018349,0.18349
251,18033,0.0018033,0.18033000000000002
427,17651,0.0017651,0.17651
149,16593,0.0016593,0.16593
176,16319,0.0016319,0.16319
353,16169,0.0016169,0.16169
390,15956,0.0015956,0.15956
124,15802,0.0015802,0.15802
559,15681,0.0015681,0.15681
4,15379,0.0015379,0.15379
7,15082,0.0015082,0.15081999999999998
177,14976,0.0014976,0.14976
146,14784,0.0014784,0.14784
424,14584,0.0014584,0.14584
368,14468,0.0014468,0.14468
3,14087,0.0014087,0.14087
147,14073,0.0014073,0.14073
422,13924,0.0013924,0.13924
143,13753,0.0013753,0.13753
369,13639,0.0013639,0.13638999999999998
248,13560,0.001356,0.1356
128,13219,0.0013219,0.13219
125,13125,0.0013125,0.13125
144,13115,0.0013115,0.13115
8,12771,0.0012771,0.12771
247,12609,0.0012609,0.12608999999999998
754,12579,0.0012579,0.12578999999999999
126,12514,0.0012514,0.12514
179,12443,0.0012443,0.12443
175,12395,0.0012395,0.12394999999999999
9,12194,0.0012194,0.12194
121,12090,0.001209,0.12090000000000001
2018,11997,0.0011997,0.11997
352,11911,0.0011911,0.11911000000000001
250,11790,0.001179,0.11789999999999999
174,11680,0.001168,0.1168
667,11447,0.0011447,0.11447
252,11215,0.0011215,0.11215000000000001
856,11156,0.0011156,0.11156
1245,11150,0.001115,0.11150000000000002
246,10891,0.0010891,0.10890999999999999
666,10658,0.0010658,0.10658
148,10637,0.0010637,0.10637
762,9724,0.0009724,0.09724
423,9518,0.0009518,0.09518
2001,9474,0.0009474,0.09474
129,9387,0.0009387,0.09387
717,9250,0.000925,0.0925
265,9177,0.0009177,0.09177
697,7780,0.000778,0.07780000000000001
180,7459,0.0007459,0.07459
238,7413,0.0007413,0.07413
753,6561,0.0006561,0.06561
426,6481,0.0006481,0.06480999999999999
1956,6475,0.0006475,0.06475
1246,6398,0.0006398,0.06398000000000001
946,6296,0.0006296,0.06296
17,6121,0.0006121,0.06121
586,5961,0.0005961,0.05961
2414,5912,0.0005912,0.05911999999999999
718,5532,0.0005532,0.05532
947,5467,0.0005467,0.05467
31,5300,0.00053,0.053
351,5244,0.0005244,0.052439999999999994
2098,4972,0.0004972,0.04972000000000001
152,4898,0.0004898,0.048979999999999996
698,4816,0.0004816,0.04816
1022,4798,0.0004798,0.04798
1903,4791,0.0004791,0.04791
2377,4755,0.0004755,0.04755
1787,4730,0.000473,0.0473
1056,4692,0.0004692,0.04692
558,4675,0.0004675,0.04675
1511,4668,0.0004668,0.04668
503,4664,0.0004664,0.04664
755,4605,0.0004605,0.04605
285,4587,0.0004587,0.04587
823,4542,0.0004542,0.045419999999999995
983,4538,0.0004538,0.045380000000000004
554,4525,0.0004525,0.04525
261,4434,0.0004434,0.04434
700,4415,0.0004415,0.04415
3149,4385,0.0004385,0.04385
1036,4295,0.0004295,0.042949999999999995
731,4290,0.000429,0.0429
1227,4288,0.0004288,0.04288
3109,4280,0.000428,0.0428
788,4232,0.0004232,0.042319999999999997
219,4166,0.0004166,0.041659999999999996
695,4151,0.0004151,0.04151
1842,4143,0.0004143,0.04143
2064,4129,0.0004129,0.04129
478,4048,0.0004048,0.040479999999999995
2579,4037,0.0004037,0.04037
942,3974,0.0003974,0.03974
962,3957,0.0003957,0.03957
1591,3955,0.0003955,0.03955
921,3914,0.0003914,0.03914
3551,3902,0.0003902,0.03902
376,3890,0.000389,0.038900000000000004
3301,3875,0.0003875,0.03875
2254,3869,0.0003869,0.03869
38,3869,0.0003869,0.03869
612,3862,0.0003862,0.03862
3981,3844,0.0003844,0.03844
2077,3843,0.0003843,0.03843
2338,3812,0.0003812,0.03812
2059,3784,0.0003784,0.03784
1050,3758,0.0003758,0.037579999999999995
852,3753,0.0003753,0.03753
2194,3749,0.0003749,0.03749
1001,3731,0.0003731,0.03731
491,3718,0.0003718,0.03718
870,3701,0.0003701,0.03701
1067,3693,0.0003693,0.03693
813,3680,0.000368,0.0368
2086,3661,0.0003661,0.036610000000000004
2042,3658,0.0003658,0.03658
1021,3644,0.0003644,0.03644
1451,3642,0.0003642,0.03642
837,3640,0.000364,0.0364
3813,3640,0.000364,0.0364
1412,3633,0.0003633,0.03633
924,3596,0.0003596,0.03596
2074,3584,0.0003584,0.03584
2975,3583,0.0003583,0.03583
3218,3581,0.0003581,0.035809999999999995
1575,3552,0.0003552,0.03552
1064,3545,0.0003545,0.03545
260,3533,0.0003533,0.03533
1608,3507,0.0003507,0.035070000000000004
1860,3495,0.0003495,0.034949999999999995
1087,3492,0.0003492,0.03492
2214,3488,0.0003488,0.03488
5338,3482,0.0003482,0.034820000000000004
513,3477,0.0003477,0.03477
840,3454,0.0003454,0.03454
459,3448,0.0003448,0.03448
892,3443,0.0003443,0.03443
108,3435,0.0003435,0.03435
200,3427,0.0003427,0.034269999999999995
4170,3424,0.0003424,0.03424
363,3411,0.0003411,0.03411
1157,3397,0.0003397,0.03397
2193,3396,0.0003396,0.033960000000000004
2207,3395,0.0003395,0.03395
3849,3369,0.0003369,0.03369
1800,3356,0.0003356,0.03356
2652,3354,0.0003354,0.03354
2383,3349,0.0003349,0.03349
2707,3346,0.0003346,0.033460000000000004
1983,3343,0.0003343,0.03343
1980,3340,0.000334,0.0334
1023,3333,0.0003333,0.033330000000000005
822,3329,0.0003329,0.03329
1688,3328,0.0003328,0.033280000000000004
133,3327,0.0003327,0.03327
113,3317,0.0003317,0.03317
1539,3313,0.0003313,0.03313
1867,3312,0.0003312,0.03312
222,3307,0.0003307,0.03307
2322,3292,0.0003292,0.03292
1900,3284,0.0003284,0.03284
57,3283,0.0003283,0.03283
873,3282,0.0003282,0.03282
5566,3280,0.000328,0.0328
114,3274,0.0003274,0.03274
3497,3270,0.000327,0.0327
2017,3260,0.000326,0.032600000000000004
1728,3255,0.0003255,0.03255
3105,3249,0.0003249,0.03249
665,3245,0.0003245,0.03245
585,3245,0.0003245,0.03245
5157,3243,0.0003243,0.03243
132,3215,0.0003215,0.03215
1749,3212,0.0003212,0.03212
2060,3211,0.0003211,0.03211
63,3201,0.0003201,0.03201
918,3186,0.0003186,0.03186
1509,3184,0.0003184,0.03184
2538,3184,0.0003184,0.03184
2226,3180,0.000318,0.031799999999999995
326,3171,0.0003171,0.03171
584,3167,0.0003167,0.03167
1766,3164,0.0003164,0.03164
23,3152,0.0003152,0.03152
756,3152,0.0003152,0.03152
940,3147,0.0003147,0.03147
1947,3136,0.0003136,0.03136
10,3126,0.0003126,0.03126
4854,3117,0.0003117,0.03117
2563,3106,0.0003106,0.03106
2787,3104,0.0003104,0.03104
2227,3099,0.0003099,0.03099
391,3099,0.0003099,0.03099
2411,3097,0.0003097,0.030969999999999998
568,3090,0.000309,0.030899999999999997
442,3082,0.0003082,0.03082
2394,3075,0.0003075,0.03075
158,3069,0.0003069,0.03069
1097,3059,0.0003059,0.03059
658,3047,0.0003047,0.030469999999999997
2071,3042,0.0003042,0.030420000000000003
5209,3036,0.0003036,0.03036
377,3032,0.0003032,0.03032
2440,3021,0.0003021,0.03021
2362,3020,0.000302,0.0302
255,3018,0.0003018,0.030180000000000002
2547,3018,0.0003018,0.030180000000000002
3166,3004,0.0003004,0.030039999999999997
820,3003,0.0003003,0.030029999999999998
534,3002,0.0003002,0.030019999999999998
2881,2999,0.0002999,0.029990000000000003
881,2995,0.0002995,0.02995
4402,2992,0.0002992,0.029920000000000002
2397,2991,0.0002991,0.02991
520,2981,0.0002981,0.02981
164,2979,0.0002979,0.029789999999999997
2218,2976,0.0002976,0.02976
2058,2967,0.0002967,0.029670000000000002
1217,2964,0.0002964,0.02964
3002,2960,0.000296,0.029599999999999998
2061,2951,0.0002951,0.02951
776,2948,0.0002948,0.02948
2228,2948,0.0002948,0.02948
96,2947,0.0002947,0.02947
552,2944,0.0002944,0.02944
1534,2943,0.0002943,0.02943
894,2930,0.000293,0.029300000000000003
3029,2927,0.0002927,0.02927
2184,2920,0.000292,0.0292
2399,2919,0.0002919,0.02919
997,2919,0.0002919,0.02919
1812,2916,0.0002916,0.02916
1287,2904,0.0002904,0.02904
262,2899,0.0002899,0.02899
759,2896,0.0002896,0.02896
2015,2895,0.0002895,0.02895
711,2894,0.0002894,0.02894
2594,2893,0.0002893,0.028929999999999997
2062,2892,0.0002892,0.028919999999999998
1669,2891,0.0002891,0.028909999999999998
77,2889,0.0002889,0.02889
2354,2889,0.0002889,0.02889
32,2885,0.0002885,0.02885
3337,2885,0.0002885,0.02885
1940,2880,0.000288,0.0288
2224,2879,0.0002879,0.02879
1313,2878,0.0002878,0.02878
3164,2877,0.0002877,0.02877
